fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,SST
0.4499,0.0844,0.0572,0.0069,0.3833,0.0183,18.512291
0.4635,0.0758,0.0502,0.0072,0.386,0.0173,18.44991
0.4456,0.0491,0.0308,0.0052,0.4567,0.0126,17.2873
0.492,0.0705,0.0454,0.0073,0.3674,0.0174,17.70779
0.4617,0.0768,0.0512,0.0074,0.3849,0.018,18.369009
0.4551,0.0748,0.0494,0.0076,0.3951,0.0181,18.24399
0.4116,0.0678,0.0427,0.0106,0.4525,0.0147,13.932309
0.4392,0.0685,0.0436,0.009,0.4231,0.0166,15.568291
0.4523,0.078,0.053,0.0078,0.3906,0.0184,18.39929
0.463,0.0748,0.0507,0.0074,0.386,0.0181,18.41089
0.4232,0.0835,0.0577,0.0079,0.4071,0.0206,18.48579
0.4508,0.0787,0.054,0.008,0.3891,0.0193,18.40619
0.4653,0.0275,0.0153,0.0055,0.4781,0.0083,11.9798
0.4117,0.0592,0.0357,0.0102,0.4663,0.0168,16.922491
0.3914,0.0745,0.0493,0.0083,0.4551,0.0214,16.69031
0.4297,0.0832,0.0607,0.0082,0.397,0.0212,18.42789
0.3763,0.0795,0.0581,0.0088,0.4554,0.0218,17.45229
0.4131,0.0395,0.0261,0.0052,0.5033,0.0128,19.0392
0.3961,0.0619,0.0392,0.006,0.4718,0.0251,10.44191
0.335,0.0896,0.0627,0.0087,0.4717,0.0324,22.426891
0.3909,0.0662,0.0486,0.0098,0.4662,0.0184,14.05589
0.3785,0.0674,0.0502,0.0068,0.4759,0.0212,20.05311
0.4045,0.0532,0.0395,0.0061,0.4803,0.0163,19.7224
0.3522,0.0556,0.0336,0.0111,0.5269,0.0206,15.7812
0.3804,0.0671,0.0484,0.0114,0.4737,0.019,16.237509
0.3667,0.0766,0.057,0.009,0.4665,0.0241,17.730991
0.3144,0.0481,0.0326,0.0102,0.5806,0.014,18.81739
0.3533,0.0909,0.0732,0.0068,0.4476,0.0282,20.127691
0.365,0.0852,0.0687,0.0081,0.4466,0.0263,18.637291
0.3562,0.077,0.0589,0.009,0.4729,0.0259,18.50429
0.3929,0.0493,0.0382,0.0065,0.4964,0.0166,19.8237
0.3176,0.0607,0.0439,0.0161,0.5458,0.016,23.44071
0.3528,0.0878,0.0719,0.0055,0.4494,0.0326,25.28129
0.3717,0.0665,0.0514,0.0071,0.4784,0.0249,20.619791
0.3473,0.0911,0.0716,0.0058,0.4471,0.0371,20.41471
0.3931,0.0796,0.0613,0.0051,0.4273,0.0336,21.65549
0.3645,0.0895,0.0729,0.0126,0.4322,0.0284,22.41901
0.322,0.0759,0.0599,0.01,0.5052,0.0269,22.27
0.3757,0.0686,0.0575,0.0089,0.4677,0.0216,14.0706
0.3454,0.0798,0.0652,0.0086,0.4724,0.0286,19.1422
0.3397,0.0777,0.0655,0.0074,0.4826,0.0271,19.48439
0.3168,0.0642,0.0499,0.0097,0.534,0.0254,18.32739
